,title,date_published,duration,avg_vote,votes,reviews_from_users,metascore,year,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sport,Thriller,War,Western
321,The Way Back ,6 March 2020 ,108,6.7,29689.0,297,66.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
322,The Willoughbys ,22 April 2020 ,90,6.4,12767.0,170,68.0,2020.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,The Witches ,22 October 2020 ,106,5.3,20826.0,752,47.0,2020.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,The Wolf of Snow Hollow ,9 October 2020 ,83,6.3,8418.0,212,67.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,The Woman Who Ran ,17 September 2020 ,77,6.8,996.0,2,79.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
326,The World to Come ,12 February 2021 ,98,6.6,367.0,10,89.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
327,The Wrong Missy ,13 May 2020 ,90,5.7,31533.0,600,33.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,There Is No Evil ,11 September 2020 ,151,7.2,1256.0,11,81.0,2020.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,Tigertail ,10 April 2020 ,91,6.4,2918.0,40,65.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
330,Timmy Failure: Mistakes Were Made ,7 February 2020 ,99,6.1,2078.0,54,60.0,2020.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,To All the Boys: P.S. I Still Love You ,12 February 2020 ,101,6.0,24744.0,145,54.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,Train to Busan Presents: Peninsula ,7 August 2020 ,116,5.4,18610.0,409,51.0,2020.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,Triggered ,10 January 2021 ,94,5.4,2104.0,46,48.0,2020.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,Trolls World Tour ,10 April 2020 ,90,6.1,15769.0,264,51.0,2020.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,Uncle Frank ,25 November 2020 ,95,7.3,9421.0,137,58.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,Uncorked ,27 March 2020 ,104,6.2,4044.0,61,62.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
337,Underwater ,10 January 2020 ,95,5.8,60650.0,981,48.0,2020.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,Undine ,2 July 2020 ,91,6.4,2398.0,8,70.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
339,Unhinged ,21 August 2020 ,90,6.0,29969.0,772,40.0,2020.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Unpregnant ,10 September 2020 ,103,6.2,4205.0,86,61.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,Valley Girl ,8 May 2020 ,102,5.4,2142.0,83,53.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,Vampires vs. the Bronx ,2 October 2020 ,85,5.6,6888.0,143,76.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,Vanguard ,20 November 2020 ,107,4.6,2292.0,104,36.0,2020.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,Villain ,28 February 2020 ,97,5.8,1273.0,77,68.0,2020.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,Waiting for Anya ,7 February 2020 ,109,5.9,882.0,26,38.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
346,Wander Darkly ,11 December 2020 ,97,5.7,379.0,7,68.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
347,Wander ,4 December 2020 ,94,5.3,3052.0,59,54.0,2020.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
348,We Can Be Heroes ,25 December 2020 ,100,4.7,5958.0,227,53.0,2020.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
